distance_x,vitesse_jeu,time_to_impact,largeur_obstacle,pos_y_obstacle,type_obstacle,type_obstacle_label,is_jumping,action_label
983.758,8.05,122.206,32,202,CACTUS,0,0,0
935.441,8.055,116.1317,32,202,CACTUS,0,0,0
887.093,8.06,110.0612,32,202,CACTUS,0,0,0
838.716,8.065,103.9945,32,202,CACTUS,0,0,0
790.308,8.07,97.9316,32,202,CACTUS,0,0,0
741.871,8.075,91.8726,32,202,CACTUS,0,0,0
693.403,8.08,85.8172,32,202,CACTUS,0,0,0
644.906,8.085,79.7657,32,202,CACTUS,0,0,0
596.378,8.09,73.7179,32,202,CACTUS,0,0,0
547.821,8.095,67.674,32,202,CACTUS,0,0,0
499.233,8.1,61.6337,32,202,CACTUS,0,0,0
450.616,8.105,55.5973,32,202,CACTUS,0,0,0
401.968,8.11,49.5645,32,202,CACTUS,0,0,0
353.291,8.115,43.5356,32,202,CACTUS,0,0,0
304.583,8.12,37.5102,32,202,CACTUS,0,0,0
255.846,8.125,31.4887,32,202,CACTUS,0,0,0
207.078,8.13,25.4708,32,202,CACTUS,0,0,0
158.281,8.135,19.4568,32,202,CACTUS,0,0,0
109.453,8.14,13.4463,32,202,CACTUS,0,0,0
101.313,8.141,12.445,32,202,CACTUS,0,1,1
101.313,8.141,12.445,32,202,CACTUS,0,1,1
101.313,8.141,12.445,32,202,CACTUS,0,1,1
93.171,8.142,11.4437,32,202,CACTUS,0,1,0
76.885,8.143,9.4415,32,202,CACTUS,0,1,0
60.596,8.145,7.4397,32,202,CACTUS,0,1,0
44.303,8.147,5.4382,32,202,CACTUS,0,1,0
28.008,8.148,3.4373,32,202,CACTUS,0,1,0
11.708,8.15,1.4366,32,202,CACTUS,0,1,0
0.0,8.152,0.0,32,202,CACTUS,0,1,0
0.0,8.153,0.0,32,202,CACTUS,0,1,0
273.885,8.155,33.5849,32,202,CACTUS,0,1,0
257.573,8.157,31.5782,32,202,CACTUS,0,1,0
241.257,8.158,29.5718,32,202,CACTUS,0,1,0
224.938,8.16,27.5659,32,202,CACTUS,0,1,0
208.615,8.162,25.5603,32,202,CACTUS,0,1,0
192.289,8.163,23.5552,32,202,CACTUS,0,1,0
175.96,8.165,21.5505,32,202,CACTUS,0,1,0
159.628,8.167,19.5463,32,202,CACTUS,0,1,0
143.292,8.168,17.5424,32,202,CACTUS,0,1,0
126.953,8.17,15.5389,32,202,CACTUS,0,0,0
77.915,8.175,9.5309,32,202,CACTUS,0,1,1
77.915,8.175,9.5309,32,202,CACTUS,0,1,1
77.915,8.175,9.5309,32,202,CACTUS,0,1,1
61.562,8.177,7.529,32,202,CACTUS,0,1,0
45.207,8.178,5.5277,32,202,CACTUS,0,1,0
28.847,8.18,3.5265,32,202,CACTUS,0,1,0
12.485,8.182,1.526,32,202,CACTUS,0,1,0
0.0,8.183,0.0,32,202,CACTUS,0,1,0
0.0,8.185,0.0,32,202,CACTUS,0,1,0
532.733,8.187,65.0732,24,210,CACTUS,0,1,0
516.358,8.188,63.0602,24,210,CACTUS,0,1,0
499.978,8.19,61.0474,24,210,CACTUS,0,1,0
483.596,8.192,59.0351,24,210,CACTUS,0,1,0
467.21,8.193,57.0232,24,210,CACTUS,0,1,0
450.821,8.195,55.0117,24,210,CACTUS,0,1,0
434.428,8.197,53.0006,24,210,CACTUS,0,1,0
418.033,8.198,50.99,24,210,CACTUS,0,1,0
401.633,8.2,48.9796,24,210,CACTUS,0,1,0
385.231,8.202,46.9698,24,210,CACTUS,0,1,0
352.416,8.205,42.9514,24,210,CACTUS,0,0,0
303.168,8.21,36.9267,24,210,CACTUS,0,0,0
253.891,8.215,30.9058,24,210,CACTUS,0,0,0
204.583,8.22,24.8884,24,210,CACTUS,0,0,0
155.246,8.225,18.8749,24,210,CACTUS,0,0,0
105.878,8.23,12.8649,24,210,CACTUS,0,0,0
56.481,8.235,6.8587,24,210,CACTUS,0,0,0
31.771,8.238,3.8569,24,210,CACTUS,0,1,1
31.771,8.238,3.8569,24,210,CACTUS,0,1,1
31.771,8.238,3.8569,24,210,CACTUS,0,1,1
23.533,8.238,2.8565,24,210,CACTUS,0,1,0
7.053,8.24,0.8559,24,210,CACTUS,0,1,0
0.0,8.242,0.0,24,210,CACTUS,0,1,0
402.344,8.243,48.8084,32,210,CACTUS,0,1,0
385.855,8.245,46.7987,32,210,CACTUS,0,1,0
369.363,8.247,44.7894,32,210,CACTUS,0,1,0
352.867,8.248,42.7804,32,210,CACTUS,0,1,0
336.368,8.25,40.7719,32,210,CACTUS,0,1,0
319.865,8.252,38.7637,32,210,CACTUS,0,1,0
303.359,8.253,36.7559,32,210,CACTUS,0,1,0
286.85,8.255,34.7486,32,210,CACTUS,0,1,0
270.338,8.257,32.7418,32,210,CACTUS,0,1,0
253.822,8.258,30.7353,32,210,CACTUS,0,1,0
237.303,8.26,28.7292,32,210,CACTUS,0,1,0
220.78,8.262,26.7234,32,210,CACTUS,0,1,0
204.254,8.263,24.7181,32,210,CACTUS,0,1,0
187.725,8.265,22.7132,32,210,CACTUS,0,1,0
138.118,8.27,16.7011,32,210,CACTUS,0,0,0
88.48,8.275,10.6924,32,210,CACTUS,0,0,0
80.204,8.276,9.6914,32,210,CACTUS,0,1,1
80.204,8.276,9.6914,32,210,CACTUS,0,1,1
80.204,8.276,9.6914,32,210,CACTUS,0,1,1
71.928,8.277,8.6905,32,210,CACTUS,0,1,0
55.372,8.278,6.6888,32,210,CACTUS,0,1,0
38.813,8.28,4.6876,32,210,CACTUS,0,1,0
22.25,8.282,2.6867,32,210,CACTUS,0,1,0
5.684,8.283,0.6862,32,210,CACTUS,0,1,0
0.0,8.285,0.0,32,210,CACTUS,0,1,0
0.0,8.287,0.0,32,210,CACTUS,0,1,0
327.904,8.288,39.5621,46,226,BIRD_LOW,1,1,0
311.325,8.29,37.5543,46,226,BIRD_LOW,1,1,0
294.742,8.292,35.5468,46,226,BIRD_LOW,1,1,0
278.157,8.293,33.5398,46,226,BIRD_LOW,1,1,0
261.567,8.295,31.5331,46,226,BIRD_LOW,1,1,0
244.975,8.297,29.5269,46,226,BIRD_LOW,1,1,0
228.379,8.298,27.5211,46,226,BIRD_LOW,1,1,0
211.78,8.3,25.5157,46,226,BIRD_LOW,1,1,0
195.177,8.302,23.5106,46,226,BIRD_LOW,1,1,0
178.572,8.303,21.5061,46,226,BIRD_LOW,1,1,0
161.962,8.305,19.5017,46,226,BIRD_LOW,1,0,0
112.115,8.31,13.4916,46,226,BIRD_LOW,1,0,0
70.552,8.314,8.4858,46,226,BIRD_LOW,1,1,1
70.552,8.314,8.4858,46,226,BIRD_LOW,1,1,1
70.552,8.314,8.4858,46,226,BIRD_LOW,1,1,1
62.237,8.315,7.4849,46,226,BIRD_LOW,1,1,0
45.605,8.317,5.4836,46,226,BIRD_LOW,1,1,0
28.969,8.318,3.4825,46,226,BIRD_LOW,1,1,0
12.33,8.32,1.482,46,226,BIRD_LOW,1,1,0
0.0,8.322,0.0,46,226,BIRD_LOW,1,1,0
0.0,8.323,0.0,46,226,BIRD_LOW,1,1,0
0.0,8.325,0.0,46,226,BIRD_LOW,1,1,0
373.5,8.327,44.8559,32,218,CACTUS,0,1,0
356.844,8.328,42.847,32,218,CACTUS,0,1,0
340.185,8.33,40.8385,32,218,CACTUS,0,1,0
323.523,8.332,38.8305,32,218,CACTUS,0,1,0
306.857,8.333,36.8228,32,218,CACTUS,0,1,0
290.188,8.335,34.8156,32,218,CACTUS,0,1,0
273.515,8.337,32.8087,32,218,CACTUS,0,1,0
